Distance (m),Angle (degrees),Speed (m/s)
4.445,67.63,4241.55
5.5,63.02,4401.62
5.6,62.6,4418.21
5.7,62.18,4435.04
5.8,61.77,4452.11
5.867,61.49,4463.67
5.95,61.15,4478.13
6.05,60.75,4495.76
6.15,60.35,4513.62
6.25,59.95,4531.7
6.35,59.55,4549.99
6.43,59.24,4564.78
6.5,58.96,4577.83
6.6,58.57,4596.66
6.7,58.19,4615.7
6.8,57.81,4634.94
6.9,57.43,4654.39
7.0,57.06,4674.04
7.1,56.68,4693.88
7.2,56.31,4713.93
7.3,55.95,4734.16
7.4,55.59,4754.59
7.5,55.23,4775.21
7.6,54.87,4796.01
7.7,54.52,4817.0
7.8,54.17,4838.17
7.9,53.82,4859.51
8.0,53.48,4881.04
8.1,53.13,4902.74
8.2,52.8,4924.61
8.3,52.46,4946.65
8.4,52.13,4968.86
8.5,51.8,4991.23
8.6,51.47,5013.77
